time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2024/10/19/10:29:10.331294,15018,1729301350,250186074,gps,2,0,37.2389508,126.7729741,29.861,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00044100000000000004)",2
2024/10/19/10:29:10.458997,15019,1729301350,375186053,gps,2,0,37.2389526,126.7729753,29.861,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0004)",2
2024/10/19/10:29:10.574071,15020,1729301350,500186032,gps,2,0,37.2389544,126.77297659999999,29.871000000000002,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000676)",2
2024/10/19/10:29:10.733141,15021,1729301350,625186010,gps,2,0,37.238956099999996,126.77297779999999,29.889,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0009609999999999999)",2
2024/10/19/10:29:10.828766,15022,1729301350,750185989,gps,2,0,37.2389578,126.7729791,29.919,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0011560000000000001)",2
2024/10/19/10:29:10.949855,15023,1729301350,875185968,gps,2,0,37.2389595,126.7729803,29.933,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0013689999999999998)",2
2024/10/19/10:29:11.083879,15024,1729301351,185946,gps,2,0,37.2389612,126.77298139999999,29.957,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.001521)",2
2024/10/19/10:29:11.219931,15025,1729301351,125185925,gps,2,0,37.238962799999996,126.77298259999999,29.96,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0016810000000000002)",2
2024/10/19/10:29:11.336865,15026,1729301351,250185903,gps,2,0,37.2389645,126.7729837,29.979,"(0.000225, 0.0, 0.0, 0.0, 0.000225, 0.0, 0.0, 0.0, 0.0017640000000000002)",2
2024/10/19/10:29:11.461862,15027,1729301351,375185882,gps,2,0,37.2389661,126.77298499999999,29.999000000000002,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.001444)",2
2024/10/19/10:29:11.581311,15028,1729301351,500185860,gps,2,0,37.238967699999996,126.7729861,30.017,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0011560000000000001)",2
2024/10/19/10:29:11.704874,15029,1729301351,625185839,gps,2,0,37.2389693,126.7729873,30.017,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0010890000000000001)",2
2024/10/19/10:29:11.822354,15030,1729301351,750185818,gps,2,0,37.2389708,126.77298839999999,30.022000000000002,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.001024)",2
2024/10/19/10:29:11.953136,15031,1729301351,875185796,gps,2,0,37.238972499999996,126.7729894,30.016000000000002,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0009609999999999999)",2
2024/10/19/10:29:12.092208,15032,1729301352,185775,gps,2,0,37.2389739,126.7729904,30.021,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0009609999999999999)",2
2024/10/19/10:29:12.213832,15033,1729301352,125185753,gps,2,0,37.238975499999995,126.77299149999999,30.019000000000002,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0009)",2
2024/10/19/10:29:12.333338,15034,1729301352,250185732,gps,2,0,37.238977,126.7729925,30.022000000000002,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0009)",2
2024/10/19/10:29:12.463007,15035,1729301352,375185711,gps,2,0,37.238978599999996,126.77299359999999,30.023,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0008410000000000001)",2
2024/10/19/10:29:12.581023,15036,1729301352,500185690,gps,2,0,37.2389801,126.7729947,30.021,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0008410000000000001)",2
2024/10/19/10:29:12.727031,15037,1729301352,625185668,gps,2,0,37.238981599999995,126.7729957,30.014,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0007840000000000001)",2
